name,entry_id,icsd_id,composition_generic,unit_cell,sites
VCu3S4,1920,1414,AB3C4,"[[5.396112, 0.0, 0.0], [0.0, 5.396112, 0.0], [0.0, 0.0, 5.396112]]","['Cu @ 0.5 0 0', 'Cu @ 0 0.5 0', 'Cu @ 0 0 0.5', 'S @ 0.237 0.237 0.237', 'S @ 0.763 0.763 0.237', 'S @ 0.763 0.237 0.763', 'S @ 0.237 0.763 0.763', 'V @ 0 0 0']"
CeSi2Ni,7865,42711,ABC2,"[[0.0, 0.0, 4.102206], [4.213604, 0.0, 0.0], [2.106802, 8.253711, 0.0]]","['Ce @ 0.25 0.894 0.213', 'Ce @ 0.75 0.106 0.787', 'Ni @ 0.75 0.317 0.365', 'Ni @ 0.25 0.683 0.635', 'Si @ 0.75 0.459 0.0819', 'Si @ 0.75 0.75 0.5', 'Si @ 0.25 0.25 0.5', 'Si @ 0.25 0.541 0.918']"
SnF3,6338,33786,AB3,"[[4.214437, -4.214437, 0.0], [-4.214437, 0.0, -4.214437], [4.214437, 4.214437, 0.0]]","['F @ 0.266 0 0.266', 'F @ 0.734 0 0.266', 'F @ 0.266 0.532 0.266', 'F @ 0.266 0 0.734', 'F @ 0.734 0 0.734', 'F @ 0.734 0.468 0.734', 'Sn @ 0 0 0', 'Sn @ 0.5 0 0.5']"
YbGa2Pd,27197,600145,ABC2,"[[4.397829, 0.0, 0.0], [2.198914, 4.941678, 0.0], [0.0, 0.0, 6.881078]]","['Ga @ 0.866 0.268 0.056', 'Ga @ 0.866 0.268 0.444', 'Ga @ 0.134 0.732 0.556', 'Ga @ 0.134 0.732 0.944', 'Pd @ 0.295 0.41 0.25', 'Pd @ 0.705 0.59 0.75', 'Yb @ 0.581 0.838 0.25', 'Yb @ 0.419 0.162 0.75']"
Cu3Sb,8424,44479,AB3,"[[5.503937, 0.0, 0.0], [0.0, 4.360185, 0.0], [0.0, 0.0, 4.924593]]","['Cu @ 0.75 0.25 0.202', 'Cu @ 1 0.75 0.352', 'Cu @ 0.5 0.75 0.352', 'Cu @ 0.000338 0.25 0.648', 'Cu @ 0.5 0.25 0.648', 'Cu @ 0.25 0.75 0.798', 'Sb @ 0.25 0.25 0.157', 'Sb @ 0.75 0.75 0.843']"
ZrSe3,4805,25621,AB3,"[[5.458346, 0.0, 0.008288], [0.0, 3.78266, 0.0], [-1.233439, 0.0, 9.636233]]","['Se @ 0.891 0.25 0.173', 'Se @ 0.456 0.25 0.179', 'Se @ 0.237 0.75 0.447', 'Se @ 0.763 0.25 0.553', 'Se @ 0.544 0.75 0.821', 'Se @ 0.109 0.75 0.827', 'Zr @ 0.715 0.75 0.345', 'Zr @ 0.285 0.25 0.655']"
Rb3Sb,14071,77991,AB3,"[[6.406174, 0.0, 0.0], [-3.203087, 5.548201, 0.0], [0.0, 0.0, 11.361021]]","['Rb @ 0.667 0.333 0.0817', 'Rb @ 1 1 0.25', 'Rb @ 0.667 0.333 0.418', 'Rb @ 0.333 0.667 0.582', 'Rb @ 5.41e-06 1.08e-05 0.75', 'Rb @ 0.333 0.667 0.918', 'Sb @ 0.333 0.667 0.25', 'Sb @ 0.667 0.333 0.75']"
LaZnAsO,20731,163779,ABCD,"[[4.09161, 0.0, 0.0], [0.0, 4.09161, 0.0], [0.0, 0.0, 9.079793]]","['As @ 0.75 0.75 0.327', 'As @ 0.25 0.25 0.673', 'La @ 0.25 0.25 0.134', 'La @ 0.75 0.75 0.866', 'O @ 0.75 0.25 0', 'O @ 0.25 0.75 0', 'Zn @ 0.75 0.25 0.5', 'Zn @ 0.25 0.75 0.5']"
CaIn,25942,414231,AB,"[[3.685796, 3.685796, -4.173664], [-3.685796, -3.685796, -4.173664], [-3.685796, 3.685796, 4.173664]]","['Ca @ 0.29 0.29 0', 'Ca @ 0.71 0.71 0', 'Ca @ 0.75 0.25 0.5', 'Ca @ 0.25 0.75 0.5', 'In @ 0.78 0.22 0', 'In @ 0.22 0.78 0', 'In @ 0.22 0.22 0.441', 'In @ 0.78 0.78 0.559']"
HoCuSb2,19731,153571,ABC2,"[[4.298863, 0.0, 0.0], [0.0, 4.298863, 0.0], [0.0, 0.0, 9.806946]]","['Cu @ 0.75 0.25 0.5', 'Cu @ 0.25 0.75 0.5', 'Ho @ 0.25 0.25 0.249', 'Ho @ 0.75 0.75 0.751', 'Sb @ 0.75 0.25 0', 'Sb @ 0.25 0.75 0', 'Sb @ 0.75 0.75 0.337', 'Sb @ 0.25 0.25 0.663']"
